69,20
82,45
6,24
3,89
68,28
10,26
2,43
45,80
16,18
3,34
38,97
20,55
68,56
9,80
13,65
7,84
30,14
31,34
15,47
3,15
11,87
92,29
47,12
5,57
3,10
32,38
57,23
26,80
95,58
18,24
4,1
4,88
20,36
85,10
6,43
6,60
69,84
34,55
72,26
1,62
47,54
62,40
4,76
71,86
10,25
13,76
17,85
6,78
31,72
16,50
95,20
65,77
37,81
17,7
34,69
3,47
63,44
99,30
10,49
78,60
54,72
55,3
64,50
50,74
25,45
24,80
32,67
6,34
5,24
6,84
83,64
7,72
37,87
4,39
21,84
42,3
26,19
14,38
93,11
49,46
4,17
86,76
82,19
38,3
41,84
6,83
26,88
62,48
4,82
53,62
33,41
15,22
79,26
15,10
40,62
39,63
56,43
49,88
64,5
16,78
46,20
40,39
15,4
56,84
83,4
16,84
10,49
79,3
18,37
35,87
74,20
53,24
16,15
69,39
35,89
67,65
10,44
91,51
30,23
20,19
42,17
15,92
13,39
65,73
84,22
14,57
9,64
29,34
10,26
25,22
6,7
21,71
3,87
1,81
93,31
60,59
90,20
42,15
9,45
7,19
15,76
10,81
31,40
56,45
17,50
58,84
11,39
3,96
25,55
47,30
1,71
50,78
40,50
19,46
51,99
20,77
12,46
51,2
10,56
33,97
55,65
45,78
26,48
69,17
11,6
18,28
10,89
4,56
48,74
12,86
13,81
95,13
13,16
82,43
1,11
18,37
98,2
59,25
4,27
14,27
100,80
63,94
30,93
93,56
15,42
16,78
30,51
30,61
55,59
43,35
2,18
10,44
84,31
28,48
19,95
100,88
5,72
61,27
58,62
15,83
20,41
26,51
83,32
24,97
65,63
31,50
1,16
22,42
58,100
11,43
51,11
38,62
20,10
4,62
16,25
9,51
76,89
4,82
31,66
8,30
55,24
16,79
70,55
26,46
36,60
66,39
54,89
48,91
54,68
13,65
31,65
90,33
26,99
28,88
20,60
7,20
39,84
12,64
9,35
43,65
14,26
21,32
11,16
71,36
94,33
53,57
14,55
48,33
2,92
15,40
23,94
84,87
62,48
7,52
2,94
38,75
63,89
5,38
8,58
5,30
5,21
55,14
17,94
10,85
77,54
2,90
6,91
60,64
12,9
17,93
71,58
19,46
3,29
3,62
3,6
47,70
6,57
42,6
25,30
22,70
41,9
70,86
2,4
8,20
66,99
3,23
3,62
35,88
12,26
53,48
81,41
79,70
19,79
52,19
72,20
13,76
7,58
47,4
57,36
67,24
23,7
97,10
38,8
84,100
41,39
42,97
87,40
81,1
25,77
44,98
43,24
42,63
51,4
94,81
38,22
68,76
28,75
41,18
71,100
36,15
27,81
36,52
54,11
8,85
26,97
28,69
71,59
23,14
47,38
42,84
31,12
8,82
11,70
75,67
58,16
47,85
12,80
56,61
11,53
35,59
34,74
9,19
2,57
8,71
20,100
42,6
80,32
8,74
98,35
71,10
60,57
37,14
12,60
43,33
68,11
41,29
23,29
65,25
69,57
86,1
4,92
20,81
14,54
98,68
85,95
47,97
69,97
56,92
11,72
44,25
24,76
83,72
27,68
20,59
14,21
21,92
48,90
38,79
70,62
11,55
31,29
40,41
50,63
61,65
92,16
98,8
44,29
42,4
84,39
100,62
6,19
13,25
2,72
51,82
31,30
7,74
32,37
12,65
10,67
10,44
73,83
36,24
18,38
28,87
84,96
62,66
21,7
25,17
75,21
9,20
10,68
3,21
7,100
70,45
20,6
73,98
83,29
43,71
36,62
7,67
26,81
18,2
99,79
69,32
9,69
38,50
19,59
49,10
10,32
5,51
73,62
59,84
18,58
39,87
69,2
10,91
63,39
59,66
83,34
40,67
65,85
4,68
69,99
48,61
20,30
3,25
25,42
89,1
10,7
37,24
30,21
5,84
80,75
69,61
67,76
33,83
2,85
22,98
1,8
71,92
22,56
27,21
73,68
42,18
53,38
3,23
21,83
10,88
5,97
15,55
100,36
8,54
41,97
39,21
34,20
32,15
2,29
1,58
4,69
1,47
17,96
9,83
89,85
46,13
34,5
34,62
3,13
51,79
8,3
44,64
43,39
32,71
7,72
80,92
98,76
71,95
8,74
56,63
8,65
67,43
42,2
5,24
76,29
82,85
38,81
80,58
4,76
24,11
81,30
12,51
72,91
4,10
61,71
33,81
2,19
32,49
85,91
56,98
40,97
8,58
1,12
3,32
75,17
2,55
98,5
17,100
95,63
74,85
9,85
63,24
51,30
18,41
33,77
30,44
16,27
28,60
9,69
12,34
15,66
21,84
48,41
26,73
81,68
56,54
85,76
34,76
31,93
43,69
6,70
23,98
15,21
69,3
62,68
41,2
44,13
17,58
89,40
14,9
4,68
20,79
23,90
3,11
37,23
56,27
97,96
91,72
5,91
70,36
10,93
68,76
45,55
46,94
56,93
4,1
87,68
63,91
60,19
65,84
18,12
6,51
45,10
17,66
18,37
12,53
64,72
13,66
5,89
70,67
2,11
26,46
91,90
33,40
2,88
7,24
29,56
74,13
2,55
2,30
20,24
55,41
13,70
36,97
68,5
